,zone,radius,center_longitude,center_latitude,geometry
0,Geelong,42.05796350169358,144.350006,-38.150002,"POLYGON ((144.650006 -37.850002, 144.650006 -38.450002, 144.050006 -38.450002, 144.050006 -37.850002, 144.650006 -37.850002))"
1,Melbourne,42.03818949853301,144.946457,-37.840935,"POLYGON ((145.246457 -37.540935, 145.246457 -38.140935, 144.646457 -38.140935, 144.646457 -37.540935, 145.246457 -37.540935))"
2,Perth,62.4063659484582,115.857048,-31.953512,"POLYGON ((116.157048 -31.653512, 116.157048 -32.253512, 115.557048 -32.253512, 115.557048 -31.653512, 116.157048 -31.653512))"
3,Brisbane,44.04212409634326,153.021072,-27.470125,"POLYGON ((153.321072 -27.170125, 153.321072 -27.770125, 152.721072 -27.770125, 152.721072 -27.170125, 153.321072 -27.170125))"
4,Sydney,41.91266857235095,151.2099,-33.865143,"POLYGON ((151.5099 -33.565143, 151.5099 -34.165143, 150.9099 -34.165143, 150.9099 -33.565143, 151.5099 -33.565143))"
5,Hobart,38.36053942311677,147.324997,-42.880554,"POLYGON ((147.624997 -42.580554, 147.624997 -43.180554, 147.024997 -43.180554, 147.024997 -42.580554, 147.624997 -42.580554))"
6,Canberra,41.973647356723255,149.128998,-35.282001,"POLYGON ((149.428998 -34.982001, 149.428998 -35.582001, 148.828998 -35.582001, 148.828998 -34.982001, 149.428998 -34.982001))"
7,Newcastle,42.160321798904405,151.75,-32.916668,"POLYGON ((152.05 -32.616668, 152.05 -33.216668, 151.45 -33.216668, 151.45 -32.616668, 152.05 -32.616668))"
8,Adelaide,46.65298106995318,138.599503,-34.92123,"POLYGON ((138.899503 -34.62123, 138.899503 -35.22123, 138.299503 -35.22123, 138.299503 -34.62123, 138.899503 -34.62123))"
9,Bunbury,60.01734354404227,115.633331,-33.333332,"POLYGON ((115.933331 -33.033332, 115.933331 -33.633332, 115.333331 -33.633332, 115.333331 -33.033332, 115.933331 -33.033332))"
10,Ballarat,42.615748740651476,143.850006,-37.549999,"POLYGON ((144.150006 -37.249999, 144.150006 -37.849999, 143.550006 -37.849999, 143.550006 -37.249999, 144.150006 -37.249999))"
